y,ds
276,05/12/2012
295,05/12/2013
313,05/12/2014
322,05/12/2015
397,05/12/2016
275,05/13/2011
280,05/13/2012
278,05/13/2013
277,05/13/2014
309,05/13/2015
402,05/13/2016
279,05/14/2011
276,05/14/2012
302,05/14/2013
318,05/14/2014
331,05/14/2015
380,05/14/2016
210,05/15/2011
262,05/15/2012
293,05/15/2013
298,05/15/2014
314,05/15/2015
399,05/15/2016
280,05/16/2011
295,05/16/2012
299,05/16/2013
372,05/16/2014
339,05/16/2015
362,05/16/2016
272,05/17/2011
311,05/17/2012
339,05/17/2013
359,05/17/2014
334,05/17/2015
387,05/17/2016
261,05/18/2011
364,05/18/2012
302,05/18/2013
354,05/18/2014
333,05/18/2015
391,05/18/2016
221,05/19/2011
296,05/19/2012
311,05/19/2013
359,05/19/2014
299,05/19/2015
408,05/19/2016
241,05/20/2011
296,05/20/2012
350,05/20/2013
338,05/20/2014
294,05/20/2015
418,05/20/2016
318,05/21/2011
320,05/21/2012
283,05/21/2013
383,05/21/2014
313,05/21/2015
432,05/21/2016
262,05/22/2011
323,05/22/2012
329,05/22/2013
405,05/22/2014
346,05/22/2015
374,05/22/2016
311,05/23/2011
291,05/23/2012
312,05/23/2013
379,05/23/2014
345,05/23/2015
430,05/23/2016
240,05/24/2011
294,05/24/2012
327,05/24/2013
398,05/24/2014
342,05/24/2015
371,05/24/2016
264,05/25/2011
336,05/25/2012
337,05/25/2013
323,05/25/2014
322,05/25/2015
409,05/25/2016
280,05/26/2011
317,05/26/2012
297,05/26/2013
302,05/26/2014
325,05/26/2015
334,05/26/2016
299,05/27/2011
303,05/27/2012
319,05/27/2013
374,05/27/2014
374,05/27/2015
408,05/27/2016
258,05/28/2011
284,05/28/2012
286,05/28/2013
353,05/28/2014
322,05/28/2015
414,05/28/2016
267,05/29/2011
291,05/29/2012
256,05/29/2013
352,05/29/2014
332,05/29/2015
401,05/29/2016
246,05/30/2011
308,05/30/2012
310,05/30/2013
375,05/30/2014
369,05/30/2015
382,05/30/2016
265,05/31/2011
295,05/31/2012
378,05/31/2013
392,05/31/2014
368,05/31/2015
381,05/31/2016
328,06/01/2011
361,06/01/2012
308,06/01/2013
389,06/01/2014
340,06/01/2015
382,06/01/2016
323,06/02/2011
317,06/02/2012
360,06/02/2013
378,06/02/2014
395,06/02/2015
377,06/02/2016
313,06/03/2011
334,06/03/2012
296,06/03/2013
366,06/03/2014
359,06/03/2015
415,06/03/2016
278,06/04/2011
302,06/04/2012
358,06/04/2013
394,06/04/2014
417,06/04/2015
441,06/04/2016
285,06/05/2011
314,06/05/2012
305,06/05/2013
333,06/05/2014
452,06/05/2015
452,06/05/2016
314,06/06/2011
275,06/06/2012
308,06/06/2013
326,06/06/2014
484,06/06/2015
423,06/06/2016
273,06/07/2011
332,06/07/2012
324,06/07/2013
407,06/07/2014
376,06/07/2015
359,06/07/2016
266,06/08/2011
352,06/08/2012
362,06/08/2013
287,06/08/2014
410,06/08/2015
368,06/08/2016
306,06/09/2011
361,06/09/2012
358,06/09/2013
332,06/09/2014
415,06/09/2015
445,06/09/2016
297,06/10/2011
314,06/10/2012
330,06/10/2013
356,06/10/2014
369,06/10/2015
393,06/10/2016
287,06/11/2011
