ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2018-05-18,1.2295755362848015,418.76191678899573,397.07100170348986,472.69113475570924,413.62831833307797,423.70790148465284,15.891195464288177,15.891195464288177,14.015470267306926,14.015470267306926,14.015470267306926,1.875725196981253,1.875725196981253,1.875725196981253,15.89119546428818,434.6531122532839
2018-05-19,1.2300319488817892,418.8132063816868,398.7263797775063,475.7304955068712,413.6506795627843,423.7842865177278,17.60523678442632,17.60523678442632,14.749958873355935,14.749958873355935,14.749958873355935,2.855277911070383,2.855277911070383,2.855277911070383,17.605236784426317,436.41844316611315
2018-05-20,1.2304883614787767,418.8644959743779,385.8917125252823,462.822259412931,413.68425408921274,423.86067155080275,3.8307197391944925,3.8307197391944925,-0.1289963550319781,-0.1289963550319781,-0.1289963550319781,3.9597160942264713,3.9597160942264713,3.9597160942264713,3.8307197391944934,422.6952157135724
2018-05-21,1.2309447740757644,418.915785567069,382.48344603748836,452.73316521251985,413.7224827936628,423.93705658387785,-1.3724692225041404,-1.3724692225041404,-6.5545208007370395,-6.5545208007370395,-6.5545208007370395,5.182051578232898,5.182051578232898,5.182051578232898,-1.372469222504141,417.54331634456486
2018-05-22,1.2314011866727521,418.96707515976004,376.780693167772,449.5953597304653,413.7618389890895,424.008133988939,-4.540982264570352,-4.540982264570352,-11.053446612515152,-11.053446612515152,-11.053446612515152,6.5124643479448014,6.5124643479448014,6.5124643479448014,-4.540982264570351,414.4260928951897
2018-05-23,1.2318575992697398,419.01836475245113,383.3310287598534,454.83193952050175,413.80130437186557,424.07795339072266,0.24560922764827342,0.24560922764827342,-7.6929063425038375,-7.6929063425038375,-7.6929063425038375,7.938515570152109,7.938515570152109,7.938515570152109,0.24560922764827176,419.2639739800994
2018-05-24,1.2323140118667275,419.0696543451422,386.8273473484542,462.66441417675554,413.8409026502545,424.1438184647869,6.10986702142457,6.10986702142457,-3.3355590299040236,-3.3355590299040236,-3.3355590299040236,9.445426051328592,9.445426051328592,9.445426051328592,6.109867021424568,425.1795213665668
2018-05-25,1.2327704244637152,419.1209439378333,406.3495455249302,481.3228815660596,413.88256784075605,424.20867023108485,25.03188284604966,25.03188284604966,14.015470267325588,14.015470267325588,14.015470267325588,11.016412578724074,11.016412578724074,11.016412578724074,25.031882846049662,444.152826783883
2018-05-26,1.233226837060703,419.1722335305244,410.58550754537333,483.7012733127513,413.92367169371596,424.273521997383,27.383031995013706,27.383031995013706,14.749958873366898,14.749958873366898,14.749958873366898,12.633073121646808,12.633073121646808,12.633073121646808,27.383031995013706,446.5552655255381
2018-05-27,1.2336832496576906,419.22352312321556,394.2733044646952,472.1834526612242,413.95714831497344,424.3380559290996,14.146814291007239,14.146814291007239,-0.12899635504542956,-0.12899635504542956,-0.12899635504542956,14.275810646052667,14.275810646052667,14.275810646052667,14.146814291007237,433.3703374142228
